weight;word;color;url
10;Coach;;
12;Site Reliability Engineering;;
8;Chaos Engineering;;
8;Trainer;;
8;Mentor;;
9;Culture;;
7;Ways of Working;;
12;DevOps;;
7;JavaScript;; 
6;TypeScript;;
5;Python;; 
4;Bash;;
2;Requirements;;
12;Test Driven Development;; 
12;Acceptance Test Driven Development;; 
12;Behaviour Driven Development;; 
12;Software Crafsmanship;;
8;Domain Driven Design;;
8;Hexagonal Architecture;;
11;Lean UX;;
7;Event Storming;;
3;API;; 
3;Cloud;;
4;Jest;;
4;PyTest;;
2;GitHub;;
2;Github Actions;;
2;Travis CI;;
2;Jenkins;;
1;Agile;;